Epoch, LearningRate, WeightDecay,Loss, LossCount, LossCam, TotalCount, Difference,Overestimate, Underestimate, mae, mse
29,0.000999,0.01,tensor(5.0935, device='cuda:0'),tensor(4.3353, device='cuda:0'),tensor(0.7582, device='cuda:0'),5025.0,69.3185107421875,28.48760498046875,40.83090576171875,4.862893104553223,30.412954330444336,
30,0.000999,0.01,tensor(5.6884, device='cuda:0'),tensor(4.8466, device='cuda:0'),tensor(0.8418, device='cuda:0'),5025.0,70.340068359375,26.62724609375,43.712822265625,4.490047931671143,29.5159854888916,
31,0.000999,0.01,tensor(3.4641, device='cuda:0'),tensor(3.2206, device='cuda:0'),tensor(0.2435, device='cuda:0'),5025.0,58.27431640625,27.11096435546875,31.163349609375,4.213574409484863,23.79167366027832,
32,0.000999,0.01,tensor(3.7544, device='cuda:0'),tensor(3.0632, device='cuda:0'),tensor(0.6912, device='cuda:0'),5025.0,61.6562646484375,30.8434375,30.81283203125,3.4859344959259033,19.012767791748047,
33,0.000999,0.01,tensor(4.8667, device='cuda:0'),tensor(3.1738, device='cuda:0'),tensor(1.6930, device='cuda:0'),5025.0,63.7251220703125,30.5125,33.21261474609375,4.014622211456299,24.258285522460938,
34,0.000999,0.01,tensor(4.9519, device='cuda:0'),tensor(3.2024, device='cuda:0'),tensor(1.7495, device='cuda:0'),5025.0,63.3739453125,26.9483056640625,36.42564208984375,2.804145336151123,13.156929016113281,
35,0.000999,0.01,tensor(3.5837, device='cuda:0'),tensor(2.5428, device='cuda:0'),tensor(1.0409, device='cuda:0'),5025.0,62.61408203125,29.825009765625,32.7890673828125,2.698481798171997,10.099575996398926,
36,0.000999,0.01,tensor(4.4872, device='cuda:0'),tensor(3.9716, device='cuda:0'),tensor(0.5156, device='cuda:0'),5025.0,69.3417578125,32.7825732421875,36.55918212890625,9.129656791687012,86.03440856933594,
37,0.000999,0.01,tensor(5.0504, device='cuda:0'),tensor(3.7511, device='cuda:0'),tensor(1.2992, device='cuda:0'),5025.0,65.1598779296875,26.22689697265625,38.93298095703125,3.315289258956909,12.803167343139648,
38,0.000999,0.01,tensor(3.4673, device='cuda:0'),tensor(3.0054, device='cuda:0'),tensor(0.4618, device='cuda:0'),5025.0,61.7066357421875,28.4736962890625,33.2329443359375,3.4902782440185547,14.73230266571045,
39,0.000999,0.01,tensor(3.2505, device='cuda:0'),tensor(2.6708, device='cuda:0'),tensor(0.5797, device='cuda:0'),5025.0,63.7228759765625,31.5982275390625,32.12465576171875,2.801917552947998,12.234722137451172,
40,0.000999,0.01,tensor(3.6527, device='cuda:0'),tensor(3.1219, device='cuda:0'),tensor(0.5308, device='cuda:0'),5025.0,65.923056640625,31.68282958984375,34.24022705078125,2.0597214698791504,7.655333518981934,
41,0.000999,0.01,tensor(3.6028, device='cuda:0'),tensor(3.2059, device='cuda:0'),tensor(0.3969, device='cuda:0'),5025.0,64.6241748046875,26.639140625,37.98504150390625,7.07611608505249,69.90473937988281,
42,0.000999,0.01,tensor(4.0344, device='cuda:0'),tensor(3.1412, device='cuda:0'),tensor(0.8931, device='cuda:0'),5025.0,64.63328125,29.24282958984375,35.39045654296875,1.54803466796875,3.6537067890167236,
43,0.000999,0.01,tensor(4.4045, device='cuda:0'),tensor(3.9525, device='cuda:0'),tensor(0.4520, device='cuda:0'),5025.0,66.0576708984375,30.16105224609375,35.89662353515625,1.935847282409668,6.021452903747559,
44,0.000999,0.01,tensor(3.7667, device='cuda:0'),tensor(3.3336, device='cuda:0'),tensor(0.4330, device='cuda:0'),5025.0,65.4571240234375,31.25927978515625,34.1978466796875,7.538039207458496,58.592254638671875,
45,0.000999,0.01,tensor(4.6880, device='cuda:0'),tensor(3.8322, device='cuda:0'),tensor(0.8558, device='cuda:0'),5025.0,65.8949169921875,27.74458740234375,38.15032470703125,2.4539074897766113,10.091026306152344,
46,0.000999,0.01,tensor(3.5186, device='cuda:0'),tensor(2.5402, device='cuda:0'),tensor(0.9784, device='cuda:0'),5025.0,61.231201171875,30.3666162109375,30.8645849609375,1.5819470882415771,4.418248176574707,
47,0.000999,0.01,tensor(3.0986, device='cuda:0'),tensor(2.6974, device='cuda:0'),tensor(0.4012, device='cuda:0'),5025.0,63.5629541015625,32.07198486328125,31.49097900390625,3.726353168487549,17.941516876220703,
48,0.000999,0.01,tensor(2.8045, device='cuda:0'),tensor(2.4713, device='cuda:0'),tensor(0.3332, device='cuda:0'),5025.0,62.32392578125,29.6214306640625,32.7024853515625,3.8795928955078125,21.20486068725586,
49,0.000999,0.01,tensor(3.7238, device='cuda:0'),tensor(2.4999, device='cuda:0'),tensor(1.2239, device='cuda:0'),5025.0,65.8827783203125,30.0859765625,35.796796875,3.5522818565368652,20.36076545715332,
50,0.000999,0.01,tensor(3.3803, device='cuda:0'),tensor(2.8441, device='cuda:0'),tensor(0.5362, device='cuda:0'),5025.0,66.3788916015625,29.3666162109375,37.01227783203125,5.0695481300354,34.210533142089844,
51,0.000999,0.01,tensor(3.7446, device='cuda:0'),tensor(3.2277, device='cuda:0'),tensor(0.5169, device='cuda:0'),5025.0,66.871259765625,32.27695068359375,34.59430908203125,4.419275760650635,29.246685028076172,
52,0.000999,0.01,tensor(2.5918, device='cuda:0'),tensor(2.4287, device='cuda:0'),tensor(0.1631, device='cuda:0'),5025.0,63.18189453125,29.729228515625,33.45266845703125,1.8977057933807373,6.45470666885376,
53,0.000999,0.01,tensor(2.7481, device='cuda:0'),tensor(2.1894, device='cuda:0'),tensor(0.5587, device='cuda:0'),5025.0,64.9939794921875,32.5905322265625,32.4034423828125,2.87613844871521,10.980473518371582,
54,0.000999,0.01,tensor(2.4726, device='cuda:0'),tensor(2.1888, device='cuda:0'),tensor(0.2838, device='cuda:0'),5025.0,65.4307373046875,33.390732421875,32.04000732421875,3.8577017784118652,28.742961883544922,
55,0.000999,0.01,tensor(3.2375, device='cuda:0'),tensor(2.8620, device='cuda:0'),tensor(0.3755, device='cuda:0'),5025.0,67.1589501953125,31.52025390625,35.63869873046875,4.630720615386963,26.719135284423828,
56,0.000999,0.01,tensor(2.4169, device='cuda:0'),tensor(1.9986, device='cuda:0'),tensor(0.4183, device='cuda:0'),5025.0,63.7329443359375,31.95108642578125,31.78185791015625,1.791599988937378,5.806393623352051,
57,0.000999,0.01,tensor(2.9827, device='cuda:0'),tensor(2.1272, device='cuda:0'),tensor(0.8555, device='cuda:0'),5025.0,66.839541015625,31.76495361328125,35.0745947265625,2.099076747894287,6.391836643218994,
58,0.000999,0.01,tensor(4.1076, device='cuda:0'),tensor(3.5888, device='cuda:0'),tensor(0.5188, device='cuda:0'),5025.0,68.806064453125,30.7697021484375,38.0363671875,6.576569557189941,48.2095947265625,
59,0.000999,0.01,tensor(3.5782, device='cuda:0'),tensor(3.1914, device='cuda:0'),tensor(0.3868, device='cuda:0'),5025.0,65.6595703125,30.2691259765625,35.3904345703125,3.5524990558624268,15.644597053527832,
60,0.000999,0.01,tensor(2.7443, device='cuda:0'),tensor(2.3097, device='cuda:0'),tensor(0.4346, device='cuda:0'),5025.0,64.334189453125,32.62669677734375,31.7074853515625,2.8819003105163574,11.48579216003418,
61,0.000999,0.01,tensor(4.4957, device='cuda:0'),tensor(3.5998, device='cuda:0'),tensor(0.8960, device='cuda:0'),5025.0,68.3520263671875,28.18243896484375,40.16959228515625,3.7694122791290283,21.899700164794922,
62,0.000999,0.01,tensor(2.8394, device='cuda:0'),tensor(2.2763, device='cuda:0'),tensor(0.5630, device='cuda:0'),5025.0,63.507392578125,30.9709228515625,32.53647705078125,2.483858585357666,9.096232414245605,
63,0.000999,0.01,tensor(2.9511, device='cuda:0'),tensor(2.4325, device='cuda:0'),tensor(0.5186, device='cuda:0'),5025.0,64.8356787109375,31.90288818359375,32.9327978515625,4.159899711608887,24.470897674560547,
64,0.000999,0.01,tensor(2.7582, device='cuda:0'),tensor(2.2800, device='cuda:0'),tensor(0.4782, device='cuda:0'),5025.0,66.5446142578125,31.471591796875,35.07302978515625,2.734898090362549,13.906801223754883,
65,0.000999,0.01,tensor(3.1151, device='cuda:0'),tensor(2.7155, device='cuda:0'),tensor(0.3996, device='cuda:0'),5025.0,66.6418115234375,32.69853759765625,33.943271484375,3.3395285606384277,13.762289047241211,
66,0.000999,0.01,tensor(3.0153, device='cuda:0'),tensor(2.5259, device='cuda:0'),tensor(0.4895, device='cuda:0'),5025.0,65.5835888671875,28.87771484375,36.70587890625,3.0532891750335693,24.7780704498291,
67,0.000999,0.01,tensor(3.4128, device='cuda:0'),tensor(2.7936, device='cuda:0'),tensor(0.6192, device='cuda:0'),5025.0,66.668125,29.17127197265625,37.49685546875,3.814960479736328,23.931079864501953,
68,0.000999,0.01,tensor(3.1132, device='cuda:0'),tensor(2.2262, device='cuda:0'),tensor(0.8871, device='cuda:0'),5025.0,65.71314453125,32.3645068359375,33.34863037109375,2.2976458072662354,7.945967674255371,
69,0.000999,0.01,tensor(2.8491, device='cuda:0'),tensor(1.9894, device='cuda:0'),tensor(0.8597, device='cuda:0'),5025.0,64.620595703125,31.5883935546875,33.0322021484375,3.5966403484344482,17.209238052368164,
70,0.000999,0.01,tensor(2.7237, device='cuda:0'),tensor(2.2525, device='cuda:0'),tensor(0.4712, device='cuda:0'),5025.0,66.899267578125,34.44949462890625,32.449775390625,3.0350308418273926,11.277341842651367,
71,0.000999,0.01,tensor(3.2235, device='cuda:0'),tensor(2.8609, device='cuda:0'),tensor(0.3627, device='cuda:0'),5025.0,69.3220751953125,31.73146484375,37.590615234375,3.695720672607422,21.117748260498047,
72,0.000999,0.01,tensor(2.6577, device='cuda:0'),tensor(2.3696, device='cuda:0'),tensor(0.2881, device='cuda:0'),5025.0,64.235947265625,30.54769287109375,33.68825927734375,1.8687337636947632,5.299595832824707,
